tweet_id,favorite_counts,retweet_counts,follower_counts,friend_counts,status_counts,language,date_time
892420643555336193,35942,7635,8794505,17,12474,en,2017-08-01 16:23:56
892177421306343426,31023,5644,8794505,17,12474,en,2017-08-01 00:17:27
891815181378084864,23342,3741,8794505,17,12474,en,2017-07-31 00:18:03
891689557279858688,39237,7807,8794505,17,12474,en,2017-07-30 15:58:51
891327558926688256,37472,8400,8794505,17,12474,en,2017-07-29 16:00:24
891087950875897856,18889,2818,8794505,17,12474,en,2017-07-29 00:08:17
890971913173991426,10972,1835,8794505,17,12474,en,2017-07-28 16:27:12
890729181411237888,60571,17043,8794505,17,12474,en,2017-07-28 00:22:40
890609185150312448,25981,3880,8794505,17,12474,en,2017-07-27 16:25:51
890240255349198849,29692,6637,8794505,17,12474,en,2017-07-26 15:59:51
890006608113172480,28577,6621,8794505,17,12474,en,2017-07-26 00:31:25
889880896479866881,25999,4502,8794505,17,12474,en,2017-07-25 16:11:53
889665388333682689,44744,9027,8794505,17,12474,en,2017-07-25 01:55:32
889638837579907072,25187,4050,8794505,17,12474,en,2017-07-25 00:10:02
889531135344209921,14119,2039,8794505,17,12474,en,2017-07-24 17:02:04
889278841981685760,23473,4820,8794505,17,12474,en,2017-07-24 00:19:32
888917238123831296,27120,4060,8794505,17,12474,en,2017-07-23 00:22:39
888804989199671297,23821,3828,8794505,17,12474,en,2017-07-22 16:56:37
888554962724278272,18379,3143,8794505,17,12474,en,2017-07-22 00:23:06
888078434458587136,20295,3137,8794505,17,12474,en,2017-07-20 16:49:33
887705289381826560,28191,4878,8794505,17,12474,en,2017-07-19 16:06:48
887517139158093824,43213,10649,8794505,17,12474,en,2017-07-19 03:39:09
887473957103951883,64042,16274,8794505,17,12474,en,2017-07-19 00:47:34
887343217045368832,31366,9473,8794505,17,12474,en,2017-07-18 16:08:03
887101392804085760,28546,5398,8794505,17,12474,en,2017-07-18 00:07:08
886983233522544640,32511,6934,8794505,17,12474,en,2017-07-17 16:17:36
886736880519319552,11163,2905,8794505,17,12474,en,2017-07-16 23:58:41
886680336477933568,20946,4047,8794505,17,12474,en,2017-07-16 20:14:00
886366144734445568,19691,2862,8794505,17,12474,en,2017-07-15 23:25:31
886267009285017600,111,4,8794505,17,12474,en,2017-07-15 16:51:35
886258384151887873,26077,5711,8794505,17,12474,en,2017-07-15 16:17:19
886054160059072513,0,100,8794505,17,12474,und,2017-07-15 02:45:48
885984800019947520,30369,6075,8794505,17,12474,en,2017-07-14 22:10:11
885528943205470208,33469,5779,8794505,17,12474,en,2017-07-13 15:58:47
885518971528720385,19077,3379,8794505,17,12474,en,2017-07-13 15:19:09
885311592912609280,0,16732,8794505,17,12474,en,2017-07-13 01:35:06
885167619883638784,20386,3949,8794505,17,12474,en,2017-07-12 16:03:00
884925521741709313,71785,16343,8794505,17,12474,en,2017-07-12 00:01:00
884876753390489601,25924,5041,8794505,17,12474,en,2017-07-11 20:47:12
884562892145688576,22650,4251,8794505,17,12474,en,2017-07-11 00:00:02
884441805382717440,25265,5148,8794505,17,12474,en,2017-07-10 15:58:53
884247878851493888,67592,18369,8794505,17,12474,en,2017-07-10 03:08:17
884162670584377345,19011,2711,8794505,17,12474,en,2017-07-09 21:29:42
883838122936631299,20362,3102,8794505,17,12474,en,2017-07-09 00:00:04
883482846933004288,42691,8933,8794505,17,12474,en,2017-07-08 00:28:19
883360690899218434,21124,3349,8794505,17,12474,en,2017-07-07 16:22:55
883117836046086144,34592,6014,8794505,17,12474,en,2017-07-07 00:17:54
882992080364220416,22262,3518,8794505,17,12474,en,2017-07-06 15:58:11
882762694511734784,26321,4419,8794505,17,12474,en,2017-07-06 00:46:41
882627270321602560,26090,5496,8794505,17,12474,en,2017-07-05 15:48:34
882268110199369728,41761,10471,8794505,17,12474,en,2017-07-04 16:01:23
882045870035918850,27322,4414,8794505,17,12474,en,2017-07-04 01:18:17
881906580714921986,22688,3076,8794505,17,12474,en,2017-07-03 16:04:48
881666595344535552,47228,9656,8794505,17,12474,en,2017-07-03 00:11:11
881633300179243008,116,7,8794505,17,12474,en,2017-07-02 21:58:53
881536004380872706,46111,14465,8794505,17,12474,en,2017-07-02 15:32:16
881268444196462592,21656,4782,8794505,17,12474,en,2017-07-01 21:49:04
880935762899988482,15946,2532,8794505,17,12474,en,2017-06-30 23:47:07
880872448815771648,19840,3468,8794505,17,12474,en,2017-06-30 19:35:32
880465832366813184,26530,5626,8794505,17,12474,en,2017-06-29 16:39:47
880221127280381952,25134,3777,8794505,17,12474,en,2017-06-29 00:27:25
880095782870896641,25745,3931,8794505,17,12474,en,2017-06-28 16:09:20
879862464715927552,20856,3164,8794505,17,12474,en,2017-06-28 00:42:13
879674319642796034,292,10,8794505,17,12474,en,2017-06-27 12:14:36
879492040517615616,21904,2893,8794505,17,12474,en,2017-06-27 00:10:17
879415818425184262,98628,40281,8794505,17,12474,en,2017-06-26 19:07:24
879376492567855104,15688,2836,8794505,17,12474,en,2017-06-26 16:31:08
879130579576475649,0,6168,8794505,17,12474,en,2017-06-26 00:13:58
879050749262655488,21022,4264,8794505,17,12474,en,2017-06-25 18:56:45
879008229531029506,17737,2429,8794505,17,12474,en,2017-06-25 16:07:47
878776093423087618,18082,3710,8794505,17,12474,en,2017-06-25 00:45:22
878604707211726852,28104,6420,8794505,17,12474,en,2017-06-24 13:24:20
878404777348136964,0,1166,8794505,17,12474,en,2017-06-24 00:09:53
878316110768087041,0,6032,8794505,17,12474,en,2017-06-23 18:17:33
878281511006478336,7214,1166,8794505,17,12474,en,2017-06-23 16:00:04
878057613040115712,39277,6168,8794505,17,12474,en,2017-06-23 01:10:23
877736472329191424,73984,17192,8794505,17,12474,en,2017-06-22 03:54:17
877611172832227328,0,73,8794505,17,12474,en,2017-06-21 19:36:23
877556246731214848,21177,3452,8795049,17,12474,en,2017-06-21 15:58:08
877316821321428993,25591,4727,8794505,17,12474,en,2017-06-21 00:06:44
877201837425926144,25312,5061,8794505,17,12474,en,2017-06-20 16:29:50
876838120628539392,19331,3031,8794505,17,12474,en,2017-06-19 16:24:33
876537666061221889,22123,4269,8794505,17,12474,en,2017-06-18 20:30:39
876484053909872640,17546,2149,8794505,17,12474,en,2017-06-18 16:57:37
876120275196170240,26149,4244,8794505,17,12474,en,2017-06-17 16:52:05
875747767867523072,23513,3885,8794505,17,12474,en,2017-06-16 16:11:53
875144289856114688,20504,4462,8794505,17,12474,en,2017-06-15 00:13:52
875097192612077568,25646,5528,8794505,17,12474,en,2017-06-14 21:06:43
875021211251597312,23856,4291,8794505,17,12474,en,2017-06-14 16:04:48
874680097055178752,26014,4213,8794505,17,12474,en,2017-06-13 17:29:20
874434818259525634,0,13229,8794505,17,12474,en,2017-06-13 01:14:41
874296783580663808,24367,3750,8794505,17,12474,en,2017-06-12 16:06:11
874057562936811520,21266,3631,8794505,17,12474,en,2017-06-12 00:15:36
874012996292530176,32062,9335,8794505,17,12474,en,2017-06-11 21:18:31
873580283840344065,22689,3595,8794505,17,12474,en,2017-06-10 16:39:04
873337748698140672,0,1450,8794505,17,12474,en,2017-06-10 00:35:19
873213775632977920,6707,1450,8794505,17,12474,en,2017-06-09 16:22:42
872967104147763200,25533,4945,8794505,17,12474,en,2017-06-09 00:02:31
872820683541237760,13815,3403,8794505,17,12474,en,2017-06-08 14:20:41
872620804844003328,19439,3332,8794505,17,12474,en,2017-06-08 01:06:27
872486979161796608,38238,8271,8794505,17,12474,en,2017-06-07 16:14:40
872122724285648897,32172,7393,8794505,17,12474,en,2017-06-06 16:07:15
871879754684805121,35278,10036,8794505,17,12474,en,2017-06-06 00:01:46
871762521631449091,18985,3199,8794505,17,12474,en,2017-06-05 16:15:56
871515927908634625,18948,3188,8794505,17,12474,en,2017-06-04 23:56:03
871166179821445120,0,5239,8794505,17,12474,en,2017-06-04 00:46:17
871102520638267392,19657,5048,8794505,17,12474,en,2017-06-03 20:33:19
871032628920680449,21366,3507,8794505,17,12474,en,2017-06-03 15:55:36
870804317367881728,31641,5684,8794505,17,12474,en,2017-06-03 00:48:22
870726314365509632,114,3,8794505,17,12474,en,2017-06-02 19:38:25
870656317836468226,11611,2415,8794505,17,12474,en,2017-06-02 15:00:16
870374049280663552,78118,24364,8794505,17,12474,en,2017-06-01 20:18:38
870308999962521604,20619,3811,8794505,17,12474,en,2017-06-01 16:00:09
870063196459192321,34372,7641,8794505,17,12474,en,2017-05-31 23:43:25
869772420881756160,40091,9332,8794505,17,12474,en,2017-05-31 04:27:59
869702957897576449,26584,5806,8794505,17,12474,en,2017-05-30 23:51:58
869596645499047938,15044,2879,8794505,17,12474,en,2017-05-30 16:49:31
869227993411051520,19254,3479,8794505,17,12474,en,2017-05-29 16:24:37
868880397819494401,61692,13312,8794505,17,12474,en,2017-05-28 17:23:24
868639477480148993,0,1917,8794505,17,12474,en,2017-05-28 01:26:04
868622495443632128,25159,4892,8794505,17,12474,en,2017-05-28 00:18:35
868552278524837888,9504,1917,8794505,17,12474,en,2017-05-27 19:39:34
867900495410671616,22867,3861,8794505,17,12474,en,2017-05-26 00:29:37
867774946302451713,32089,6796,8794505,17,12474,en,2017-05-25 16:10:44
867421006826221569,15199,2303,8794505,17,12474,en,2017-05-24 16:44:18
867072653475098625,0,110,8794505,17,12474,en,2017-05-23 17:40:04
867051520902168576,30475,7304,8794505,17,12474,en,2017-05-23 16:16:06
866720684873056260,18924,4449,8794505,17,12474,en,2017-05-22 18:21:28
866686824827068416,18233,3237,8794505,17,12474,en,2017-05-22 16:06:55
866450705531457537,115698,32662,8794505,17,12474,en,2017-05-22 00:28:40
866334964761202691,49579,13229,8794505,17,12474,en,2017-05-21 16:48:45
866094527597207552,0,7782,8794505,17,12474,en,2017-05-21 00:53:21
865718153858494464,24315,5220,8794505,17,12474,en,2017-05-19 23:57:46
865359393868664832,25067,4651,8794505,17,12474,en,2017-05-19 00:12:11
865006731092295680,26581,7158,8794505,17,12474,en,2017-05-18 00:50:50
864873206498414592,30608,8091,8794505,17,12474,en,2017-05-17 16:00:15
864279568663928832,13826,2813,8794505,17,12474,en,2017-05-16 00:41:21
864197398364647424,28442,8241,8794505,17,12474,en,2017-05-15 19:14:50
863907417377173506,19553,3851,8794505,17,12474,en,2017-05-15 00:02:33
863553081350529029,14508,3913,8794505,17,12474,en,2017-05-14 00:34:33
863471782782697472,0,2268,8794505,17,12474,en,2017-05-13 19:11:30
863432100342583297,22597,4894,8794505,17,12474,en,2017-05-13 16:33:49
863427515083354112,2093,89,8794505,17,12474,en,2017-05-13 16:15:35
863079547188785154,8346,1038,8794505,17,12474,en,2017-05-12 17:12:53
863062471531167744,8032,2268,8794505,17,12474,en,2017-05-12 16:05:02
862831371563274240,18254,4814,8794505,17,12474,en,2017-05-12 00:46:44
